Establishment ID,Establishment Name,Establishment Type,Establishment Address
10661222,MAPLE LODGE (RAWF 2018) - HALL B,Food Take Out,"100 PRINCES BLVD, Unit-RAWF 2022"
10761850,MAPLE LODGE FARMS - PRINCES NORTH - CNE 2024,Food Take Out,100 PRINCES BLVD
9061791,MAPLE PRODUCE,Food Store (Convenience/Variety),225 RONCESVALLES AVE
9052884,MAPLEWOOD BEFORE & AFTER CARE,Child Care - Food Preparation,15 CHERRYWOOD AVE
9346056,MAPLEWOOD HIGH SCHOOL,Secondary School Food Services,120 GALLOWAY RD
10546215,MAPLEWOOD STUDENT NUTRITION PROGRAM,Student Nutrition Site,120 GALLOWAY RD
10663719,MAPO GAMJATANG,Restaurant,"4916 YONGE ST, Bldg-0"
10768942,MAPO GAMJATANG,Restaurant,"4186 FINCH AVE E, Unit-8"
10732020,MAPO KOREAN BBQ,Restaurant,708 BLOOR ST W
10798455,MAPO POCHA,Restaurant,680 BLOOR ST W
10810689,MARALLO,Refreshment Stand (Stationary),"224 AUGUSTA AVE, Unit-A"
10778245,MARATHON CAFE,Food Take Out,"28 FINCH AVE W, Unit-111"
10800968,MARATHON CAFE,Food Take Out,30 ISABELLA ST
10329765,MARATHON DONUT AND COFFEE,Restaurant,3300 MIDLAND AVE
10657839,MARBL,Restaurant,455 KING ST W
10508378,MARBLE SLAB CREAMERY,Food Take Out,70 WESTON RD
10761332,MARBLE SLAB CREAMERY,Food Take Out,"5095 YONGE ST, Unit-A12A"
10804817,MARBLE SLAB CREAMERY,Food Take Out,85 ELLESMERE RD
10591347,MARC GARNEAU COLLEGIATE INSTITUTE,Student Nutrition Site,135 OVERLEA BLVD
10460939,MARCELINA'S FILIPINO CUISINE,Restaurant,355 WILSON AVE
10572721,MARCELLO'S,Food Take Out,105 ADELAIDE ST W
10522882,MARCELLO'S MARKET & DELI,Food Take Out,40 KING ST W
10651546,MARCELLO'S MARKET & DELI,Restaurant,145 KING ST W
9009574,MARCELLO'S PIZZERIA,Restaurant,1163 ST CLAIR AVE W
9009577,MARCHE ISTANBUL,Supermarket,"3220 DUFFERIN ST, Unit-10a"
10637100,MARCHE LEO'S MARKET,Supermarket,"150 WYNFORD DR, Unit-106"
10808955,MARCHE LEO'S MARKET,Supermarket,475 FRONT ST E
10752493,MARCHELEO'S INC,Supermarket,"595 BAY ST, Bldg-G-02, G-03"
10412847,MARCHELEO'S MARKETPLACE,Supermarket,181 EGLINTON AVE E
10740598,MARCS MUSHROOMS & WILD HARVEST,Food Depot,"231R MCROBERTS AVE, Bldg-REAR"
9009584,MARCY FINE FOODS INC.,Food Take Out,"2064 SHEPPARD AVE E, Unit-14"
10585388,MARGARET'S TORONTO EAST DROP-IN CENTRE,Community Kitchen (Meal Program),323 DUNDAS ST E
9009590,MARGUERITE BUTT CHILD CARE CENTRE,Child Care - Catered,3197 LAKE SHORE BLVD W
10190054,MARHABA SUPERMARKET,Butcher Shop,3018 DANFORTH AVE
10264972,MARHABA SUPERMARKET,Supermarket,324 PARLIAMENT ST
10747749,MARIA LUISA DE MORENA INTERNATIONAL FOUNDATION,Food Bank,60 ST REGIS CRES N
10559098,MARIA MONTESSORI SCHOOL,Child Care - Food Preparation,125 BRENTCLIFFE RD
9009597,MARIA'S SPORTS BAR,Restaurant,1135 COLLEGE ST
9009593,MARIACHI'S,Restaurant,2084 YONGE ST
10765875,MARIGOLD,Restaurant,552 MOUNT PLEASANT RD
10785042,MARINA CAFE BY ERGYS,Restaurant,"475 UNWIN AVE, Bldg-OUTER MARINA"
10751222,MARINE SHAWARMA,Restaurant,"160 MARINE PARADE DR, Bldg-8"
10759122,MARINHO SPORTS BAR,Restaurant,1755 KEELE ST
9421462,MARIO AND SELINA'S NO FRILLS,Supermarket,220 ROYAL YORK RD
10699869,MARIO'S PIZZA KITCHEN,Restaurant,"355 PITFIELD RD, Bldg-0"
10773960,MARIS QUERIA,Restaurant,9 MILVAN DR
10444112,MARIUS BAKERY,Bakery,317 BURNHAMTHORPE RD
10620658,MARJO BAKERY,Bakery,2838 VICTORIA PARK AVE
10749336,MARK GIBBONS CATERING,Cafeteria - Public Access,901 COSBURN AVE
10621366,MARK'S INTERNATIONAL DELI,Food Take Out,562 SHEPPARD AVE W
10732590,MARKED,Restaurant,132 JOHN ST
10645631,MARKET BALKAN,Food Store (Convenience/Variety),2881 DUFFERIN ST
10766315,MARKET CONVENIENCE,Food Store (Convenience/Variety),"124 EGLINTON AVE W, Unit-104"
10611474,MARKET EXPRESS,Food Take Out,941 PROGRESS AVE
10623565,MARKET EXPRESS,Cafeteria - Public Access,"2075 BAYVIEW AVE, Flr-M WING"
10340734,MARKET GARDEN RESTAURANT,Restaurant,165 THE QUEENSWAY
9030263,MARKET LANE PUBLIC SCHOOL,Student Nutrition Site,246 THE ESPLANADE
9009635,MARKET PLACE,Food Store (Convenience/Variety),129 FRONT ST E
9013555,MARKET PLACE CATERING,College / University Food Services,"1265 MILITARY TRL, Flr-basement"
10630677,MARKET STREET CATCH,Restaurant,14 MARKET ST
10775254,MARKET STREET CATCH,Food Take Out,"100 YONGE ST, Unit-Y4A"
10774917,MARKET VILLAGE GROCERY,Supermarket,17 MILLIKEN BLVD
10590071,MARKET-TINO,Food Store (Convenience/Variety),2801 KEELE ST
10661690,MARKET@416,Restaurant,1 ISLAND AIRPORT
10725538,MARKETERIA - ST. MICHAEL'S HOSPITAL,Cafeteria - Public Access,30 BOND ST
10687956,MARKHAM CORNER GIFT AND SMOKE,Food Store (Convenience/Variety),"5105 SHEPPARD AVE E, Unit-12"
10315167,MARKHAM DANFORTH FOOD MARKET,Supermarket,651 MARKHAM RD
9009645,MARKHAM STATION,Restaurant,5117 SHEPPARD AVE E
9418665,MARKHAM VARIETY,Food Store (Convenience/Variety),421 MARKHAM RD
10289907,MARKLAND WOOD GOLF,Private Club,245 MARKLAND DR
10809929,MARKLAND WOODS CONVENIENCE,Food Store (Convenience/Variety),"4335 BLOOR ST W, Unit-10"
10734400,MARKS' PIZZA,Food Take Out,371 OLD KINGSTON RD
10698738,MARLEE VARIETY,Food Store (Convenience/Variety),551 MARLEE AVE
10693570,MARLENE FILIPINO CUISINE,Food Take Out,"31 TAPSCOTT RD, Unit-9"
10800209,MARMARIS TURKISH RESTAURANT,Restaurant,3443 YONGE ST
10749819,MARQ'S CHICAGO BEEF,Food Take Out,"707 DUNDAS ST W, Unit-9B"
10798613,MARQUIN,Food Take Out,"100 KING ST W, Unit-CN0159"
10675943,MARRIOTT BANQUET KITCHEN,Banquet Facility,525 BAY ST
9002241,MARRIOTT HOTEL - CAFETERIA,Cafeteria - Private Access,525 BAY ST
9011664,MARRIOTT HOTEL - TRIOS BISTRO,Banquet Facility,"525 BAY ST, Unit-2"
10814117,MARRY BROWN #511,Food Take Out,1 BLUE JAYS WAY
10803033,MARRY ME MOCHI,Restaurant,"1980 ST CLAIR AVE W, Unit-127A"
10814773,MARS VILLAGE FOOD,Restaurant,"510 YONGE ST, Bldg-1"
10366401,MARSHALL MCLUHAN CATHOLIC SECONDARY SCHOOL,Cafeteria - Private Access,1107 AVENUE RD
10812819,MARSHALL MCLUHAN CATHOLIC SECONDARY SCHOOL STUDENT NUTRITION PROGRAM,Student Nutrition Site,1107 AVENUE RD
10782023,MARTIN ESPRESSO BAR,Restaurant,1421 BLOOR ST W
